[2026-03-22 09:08:57] bot started | dry_run=True
[2026-03-22 09:08:57] market switched => btc-updown-5m-1774141500
[2026-03-22 09:08:57] no entry | slug=btc-updown-5m-1774141500 reason=flow_too_weak_10193 secs_left=62.695168 up=0.5 down=0.5
[2026-03-22 09:08:57] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:01] no entry | slug=btc-updown-5m-1774141500 reason=ofi_not_extreme_0.526 secs_left=58.820701 up=0.5 down=0.5
[2026-03-22 09:09:01] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:05] no entry | slug=btc-updown-5m-1774141500 reason=ofi_not_extreme_0.501 secs_left=54.890119 up=0.5 down=0.5
[2026-03-22 09:09:05] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:09] no entry | slug=btc-updown-5m-1774141500 reason=ofi_not_extreme_0.551 secs_left=50.994793 up=0.5 down=0.5
[2026-03-22 09:09:09] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:13] no entry | slug=btc-updown-5m-1774141500 reason=ofi_not_extreme_0.599 secs_left=47.047002 up=0.5 down=0.5
[2026-03-22 09:09:13] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:17] no entry | slug=btc-updown-5m-1774141500 reason=ofi_not_extreme_0.553 secs_left=43.17756 up=0.5 down=0.5
[2026-03-22 09:09:17] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:21] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=39.287228 up=0.5 down=0.5
[2026-03-22 09:09:21] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:21] EVENT INTERRUPT: OFI=0.70 Vol=$2444515 -> forcing fast poll
[2026-03-22 09:09:24] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=36.285707 up=0.105 down=0.895
[2026-03-22 09:09:24] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:24] EVENT INTERRUPT: OFI=0.70 Vol=$2464701 -> forcing fast poll
[2026-03-22 09:09:27] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=33.287411 up=0.105 down=0.895
[2026-03-22 09:09:27] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:31] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=29.421217 up=0.105 down=0.895
[2026-03-22 09:09:31] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:35] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=25.556805 up=0.105 down=0.895
[2026-03-22 09:09:35] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:38] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=21.666004 up=0.105 down=0.895
[2026-03-22 09:09:38] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:42] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=17.787649 up=0.105 down=0.895
[2026-03-22 09:09:42] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:46] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=13.909437 up=0.105 down=0.895
[2026-03-22 09:09:46] no signal | equity=100.00 cash=100.00
[2026-03-22 09:09:50] no entry | slug=btc-updown-5m-1774141500 reason=too_late_in_market secs_left=10.047365 up=0.105 down=0.895
[2026-03-22 09:09:50] no signal | equity=100.00 cash=100.00
